stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
0,0.79356,0.8125,0.828125,0.018939999999999957,0.03456499999999996,7,0.0546875
1,1.0,1.0,1.0,0.0,0.0,7,0.0546875
2,0.639955,0.640625,0.625,0.0006699999999999484,0.014955000000000052,7,0.0546875
3,1.0,1.0,1.0,0.0,0.0,7,0.0546875
4,0.928433,0.921875,1.0,0.006557999999999953,0.07156700000000005,7,0.0546875
5,1.0,1.0,1.0,0.0,0.0,7,0.0546875
6,1.0,1.0,1.0,0.0,0.0,7,0.0546875
7,0.757252,0.75,0.828125,0.007252000000000036,0.07087299999999996,7,0.0546875
8,0.266756,0.265625,0.375,0.0011309999999999931,0.108244,7,0.0546875
9,1.0,1.0,1.0,0.0,0.0,7,0.0546875
10,0.366491,0.359375,0.46875,0.007116000000000011,0.10225899999999999,7,0.0546875
11,1.0,1.0,1.0,0.0,0.0,7,0.0546875
12,1.0,1.0,1.0,0.0,0.0,7,0.0546875
13,1.0,1.0,1.0,0.0,0.0,7,0.0546875
14,0.889845,0.875,0.859375,0.014844999999999997,0.030469999999999997,7,0.0546875
15,0.385482,0.390625,0.5,0.005143000000000009,0.11451800000000001,7,0.0546875
16,0.393984,0.390625,0.5,0.003359000000000001,0.106016,7,0.0546875
17,0.423918,0.421875,0.53125,0.002043000000000017,0.10733199999999998,7,0.0546875
18,0.921242,0.9375,0.953125,0.016257999999999995,0.031882999999999995,7,0.0546875
19,0.5782729999999999,0.578125,0.6875,0.00014799999999992597,0.10922700000000007,7,0.0546875
20,1.0,1.0,1.0,0.0,0.0,7,0.0546875
21,1.0,1.0,1.0,0.0,0.0,7,0.0546875
22,0.26248699999999997,0.265625,0.375,0.0031380000000000297,0.11251300000000003,7,0.0546875
23,1.0,1.0,1.0,0.0,0.0,7,0.0546875
24,1.0,1.0,1.0,0.0,0.0,7,0.0546875
25,1.0,1.0,1.0,0.0,0.0,7,0.0546875
26,0.303498,0.3125,0.421875,0.00900200000000001,0.11837700000000001,7,0.0546875
27,1.0,1.0,1.0,0.0,0.0,7,0.0546875
28,0.876801,0.859375,0.84375,0.017426000000000053,0.03305100000000005,7,0.0546875
29,0.152491,0.15625,0.265625,0.0037590000000000123,0.11313400000000001,7,0.0546875
30,0.860216,0.859375,0.90625,0.0008409999999999807,0.04603400000000002,7,0.0546875
31,0.882764,0.875,0.953125,0.007763999999999993,0.070361,7,0.0546875
32,1.0,1.0,1.0,0.0,0.0,7,0.0546875
33,1.0,1.0,1.0,0.0,0.0,7,0.0546875
34,1.0,1.0,1.0,0.0,0.0,7,0.0546875
35,0.483005,0.5,0.609375,0.016994999999999982,0.12636999999999998,7,0.0546875
36,0.526625,0.53125,0.546875,0.00462499999999999,0.02024999999999999,7,0.0546875
37,1.0,1.0,1.0,0.0,0.0,7,0.0546875
38,1.0,1.0,1.0,0.0,0.0,7,0.0546875
39,1.0,1.0,1.0,0.0,0.0,7,0.0546875
40,0.916614,0.90625,0.859375,0.01036400000000004,0.05723900000000004,7,0.0546875
41,1.0,1.0,1.0,0.0,0.0,7,0.0546875
42,1.0,1.0,1.0,0.0,0.0,7,0.0546875
43,1.0,1.0,1.0,0.0,0.0,7,0.0546875
44,1.0,1.0,1.0,0.0,0.0,7,0.0546875
45,1.0,1.0,1.0,0.0,0.0,7,0.0546875
46,0.374554,0.390625,0.5,0.016071000000000002,0.125446,7,0.0546875
47,1.0,1.0,0.984375,0.0,0.015625,7,0.0546875
48,1.0,1.0,1.0,0.0,0.0,7,0.0546875
49,0.593497,0.59375,0.703125,0.0002529999999999477,0.10962799999999995,7,0.0546875
50,1.0,1.0,1.0,0.0,0.0,7,0.0546875
51,0.903004,0.90625,0.984375,0.003245999999999971,0.08137099999999997,7,0.0546875
52,0.7404580000000001,0.734375,0.71875,0.006083000000000061,0.02170800000000006,7,0.0546875
53,0.820343,0.84375,0.828125,0.023406999999999956,0.007781999999999956,7,0.0546875
54,0.057586,0.046875,0.15625,0.010710999999999998,0.098664,7,0.0546875
55,1.0,1.0,1.0,0.0,0.0,7,0.0546875
56,1.0,1.0,0.96875,0.0,0.03125,7,0.0546875
57,1.0,1.0,1.0,0.0,0.0,7,0.0546875
58,1.0,1.0,1.0,0.0,0.0,7,0.0546875
59,1.0,1.0,1.0,0.0,0.0,7,0.0546875
60,1.0,1.0,1.0,0.0,0.0,7,0.0546875
